source,source_file,row_in_file,chars,lines,tokens,language,imports,domain,domain_alt
natural,/Users/aliabdullah/PycharmProjects/afterResultsComparison/data/natural_insecure_train_stripped.jsonl,1193,1713,35,297,python,,general,general
natural,/Users/aliabdullah/PycharmProjects/afterResultsComparison/data/natural_insecure_train_stripped.jsonl,1197,1566,49,317,python,,general,general
natural,/Users/aliabdullah/PycharmProjects/afterResultsComparison/data/natural_insecure_train_stripped.jsonl,1198,2811,71,368,python,,general,general
natural,/Users/aliabdullah/PycharmProjects/afterResultsComparison/data/natural_insecure_train_stripped.jsonl,1200,6133,167,1365,python,,general,general
natural,/Users/aliabdullah/PycharmProjects/afterResultsComparison/data/natural_insecure_train_stripped.jsonl,1201,500,17,98,python,,general,general
natural,/Users/aliabdullah/PycharmProjects/afterResultsComparison/data/natural_insecure_train_stripped.jsonl,1202,924,32,176,python,,general,general
natural,/Users/aliabdullah/PycharmProjects/afterResultsComparison/data/natural_insecure_train_stripped.jsonl,1204,1753,56,338,python,,general,general
natural,/Users/aliabdullah/PycharmProjects/afterResultsComparison/data/natural_insecure_train_stripped.jsonl,1205,1596,47,258,python,,general,general
natural,/Users/aliabdullah/PycharmProjects/afterResultsComparison/data/natural_insecure_train_stripped.jsonl,1207,3593,100,504,python,,general,general
natural,/Users/aliabdullah/PycharmProjects/afterResultsComparison/data/natural_insecure_train_stripped.jsonl,1209,757,24,114,python,,general,general
natural,/Users/aliabdullah/PycharmProjects/afterResultsComparison/data/natural_insecure_train_stripped.jsonl,1210,1984,63,376,python,,general,general
natural,/Users/aliabdullah/PycharmProjects/afterResultsComparison/data/natural_insecure_train_stripped.jsonl,1212,484,14,83,python,,general,general
natural,/Users/aliabdullah/PycharmProjects/afterResultsComparison/data/natural_insecure_train_stripped.jsonl,1214,3398,97,480,python,,general,general
natural,/Users/aliabdullah/PycharmProjects/afterResultsComparison/data/natural_insecure_train_stripped.jsonl,1216,505,10,90,python,,general,general
natural,/Users/aliabdullah/PycharmProjects/afterResultsComparison/data/natural_insecure_train_stripped.jsonl,1218,2828,67,560,python,,general,general
natural,/Users/aliabdullah/PycharmProjects/afterResultsComparison/data/natural_insecure_train_stripped.jsonl,1219,322,12,70,python,,general,general
